1.58	442.253	55.2003	273.547
1.59	434.994	56.8416	279.164
1.6	427.708	58.5166	284.775
1.61	420.4	60.2253	290.374
1.62	413.076	61.9675	295.957
1.63	405.741	63.7432	301.516
1.64	398.401	65.5523	307.047
1.65	391.061	67.3946	312.545
1.66	383.727	69.2699	318.003
1.67	376.406	71.1779	323.416
1.68	369.102	73.1184	328.78
1.69	361.82	75.0911	334.088
1.7	354.568	77.0956	339.337
1.71	347.349	79.1316	344.52
1.72	340.169	81.1987	349.633
1.73	333.032	83.2965	354.671
1.74	325.945	85.4246	359.63
1.75	318.912	87.5823	364.505
1.76	311.938	89.7694	369.293
1.77	305.026	91.9851	373.989
1.78	298.181	94.2291	378.59
1.79	291.408	96.5006	383.092
1.8	284.71	98.7992	387.491
1.81	278.09	101.124	391.786
1.82	271.553	103.475	395.972
1.83	265.102	105.851	400.048
1.84	258.738	108.251	404.011
1.85	252.466	110.675	407.859
1.86	246.288	113.122	411.59
1.87	240.206	115.592	415.202
1.88	234.222	118.083	418.695
1.89	228.338	120.595	422.067
1.9	222.555	123.127	425.317
1.91	216.876	125.679	428.445
1.92	211.301	128.25	431.449
1.93	205.831	130.839	434.33
1.94	200.467	133.445	437.088
1.95	195.21	136.067	439.723
1.96	190.059	138.706	442.235
1.97	185.016	141.359	444.625
1.98	180.081	144.027	446.893
1.99	175.252	146.708	449.04
2	170.53	149.402	451.067
2.01	165.915	152.109	452.976
2.02	161.406	154.827	454.768
2.03	157.002	157.555	456.443
2.04	152.702	160.294	458.004
2.05	148.506	163.042	459.452
2.06	144.412	165.799	460.79
2.07	140.419	168.563	462.018
2.08	136.527	171.335	463.138
2.09	132.733	174.114	464.153
2.1	129.036	176.899	465.065
2.11	125.436	179.69	465.875
2.12	121.929	182.485	466.586
2.13	118.516	185.284	467.2
2.14	115.194	188.088	467.719
2.15	111.961	190.894	468.145
2.16	108.816	193.703	468.481
2.17	105.757	196.514	468.729
2.18	102.783	199.326	468.891
2.19	99.8915	202.139	468.969
2.2	97.0808	204.953	468.966
2.21	94.3491	207.767	468.884
2.22	91.6948	210.58	468.725
2.23	89.116	213.393	468.491
2.24	86.611	216.204	468.185
2.25	84.178	219.013	467.809
2.26	81.8152	221.82	467.365
2.27	79.521	224.624	466.855
2.28	77.2935	227.425	466.282
2.29	75.1311	230.223	465.646
2.3	73.032	233.016	464.952
2.31	70.9946	235.806	464.199
2.32	69.0173	238.591	463.391
2.33	67.0984	241.372	462.53
2.34	65.2363	244.147	461.617
2.35	63.4294	246.917	460.654
2.36	61.6763	249.68	459.643
2.37	59.9753	252.438	458.586
2.38	58.3251	255.19	457.485
2.39	56.7241	257.935	456.341
2.4	55.171	260.673	455.156
2.41	53.6643	263.404	453.932
2.42	52.2027	266.127	452.67
2.43	50.7849	268.843	451.372
2.44	49.4095	271.552	450.039
2.45	48.0753	274.252	448.673
2.46	46.7811	276.944	447.275
2.47	45.5257	279.628	445.847
2.48	44.3078	282.303	444.39
2.49	43.1264	284.969	442.905
2.5	41.9804	287.626	441.393
2.51	40.8686	290.275	439.857
2.52	39.79	292.914	438.296
2.53	38.7436	295.544	436.713
2.54	37.7284	298.164	435.108
2.55	36.7435	300.775	433.482
2.56	35.7878	303.375	431.837
2.57	34.8605	305.966	430.173
2.58	33.9608	308.547	428.492
2.59	33.0877	311.118	426.794
2.6	32.2404	313.679	425.08
2.61	31.4181	316.23	423.352
2.62	30.62	318.77	421.61
2.63	29.8454	321.299	419.855
2.64	29.0936	323.819	418.088
2.65	28.3638	326.327	416.309
2.66	27.6553	328.825	414.52
2.67	26.9675	331.312	412.72
2.68	26.2997	333.788	410.912
2.69	25.6513	336.254	409.095
2.7	25.0216	338.708	407.27
2.71	24.4102	341.152	405.438
2.72	23.8164	343.585	403.599
2.73	23.2397	346.006	401.754
2.74	22.6795	348.417	399.904
2.75	22.1353	350.816	398.048
2.76	21.6066	353.205	396.189
2.77	21.093	355.582	394.325
2.78	20.594	357.948	392.458
2.79	20.109	360.302	390.589
2.8	19.6378	362.646	388.716
2.81	19.1798	364.978	386.842
2.82	18.7346	367.299	384.966
2.83	18.3018	369.609	383.089
2.84	17.8812	371.908	381.211
2.85	17.4722	374.195	379.333
2.86	17.0745	376.471	377.455
2.87	16.6878	378.736	375.577
2.88	16.3118	380.989	373.699
2.89	15.946	383.231	371.823
2.9	15.5903	385.462	369.948
2.91	15.2442	387.682	368.074
2.92	14.9076	389.89	366.202
2.93	14.58	392.088	364.332
2.94	14.2613	394.274	362.465
2.95	13.9511	396.448	360.601
2.96	13.6493	398.612	358.739
2.97	13.3555	400.764	356.88
2.98	13.0695	402.906	355.025
2.99	12.7911	405.036	353.173
3	12.5201	407.155	351.325
3.01	12.2562	409.263	349.481
3.02	11.9992	411.36	347.641
3.03	11.7489	413.445	345.806
3.04	11.5051	415.52	343.975
3.05	11.2677	417.584	342.148
3.06	11.0363	419.637	340.327
3.07	10.811	421.679	338.51
3.08	10.5914	423.71	336.699
3.09	10.3774	425.73	334.892
3.1	10.1689	427.74	333.091
